date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,1,1,0,0,1,1,0,0
2020-03-18,1,0,0,0,1,0,0,0
2020-03-19,1,0,0,0,1,0,0,0
2020-03-20,1,0,0,0,1,0,0,0
2020-03-21,1,0,0,0,1,0,0,0
2020-03-22,1,0,0,0,1,0,0,0
2020-03-23,1,0,0,0,1,0,0,0
2020-03-24,1,0,0,0,1,0,0,0
2020-03-25,1,0,0,0,1,0,0,0
2020-03-26,1,0,0,0,1,0,0,0
2020-03-27,1,0,0,0,2,1,-1,-1
2020-03-28,1,0,0,0,2,0,-1,0
2020-03-29,1,0,0,0,2,0,-1,0
2020-03-30,7,6,0,0,2,0,5,6
2020-03-31,13,6,0,0,4,2,9,4
2020-04-01,15,2,0,0,4,0,11,2
2020-04-02,15,0,0,0,4,0,11,0
2020-04-03,15,0,0,0,4,0,11,0
2020-04-04,18,3,0,0,5,1,13,2
2020-04-05,18,0,0,0,5,0,13,0
2020-04-06,19,1,0,0,5,0,14,1
2020-04-07,19,0,0,0,5,0,14,0
2020-04-08,48,29,0,0,5,0,43,29
2020-04-09,48,0,0,0,5,0,43,0
2020-04-10,48,0,8,8,5,0,35,-8
2020-04-11,48,0,8,0,8,3,32,-3
2020-04-12,58,10,8,0,8,0,42,10
2020-04-13,60,2,9,1,9,1,42,0
2020-04-14,65,5,10,1,9,0,46,4
2020-04-15,71,6,10,0,9,0,52,6
2020-04-16,72,1,13,3,9,0,50,-2
2020-04-17,72,0,13,0,9,0,50,0
2020-04-18,72,0,13,0,9,0,50,0
2020-04-19,74,2,13,0,9,0,52,2
2020-04-20,76,2,14,1,10,1,52,0
2020-04-21,77,1,14,0,10,0,53,1
2020-04-22,86,9,21,7,10,0,55,2
2020-04-23,88,2,21,0,11,1,56,1
2020-04-24,89,1,21,0,11,0,57,1
2020-04-25,98,9,21,0,12,1,65,8
2020-04-26,104,6,28,7,12,0,64,-1
2020-04-27,104,0,35,7,12,0,57,-7
2020-04-28,104,0,35,0,13,1,56,-1
2020-04-29,107,3,40,5,13,0,54,-2
2020-04-30,110,3,41,1,14,1,55,1
2020-05-01,110,0,41,0,14,0,55,0
2020-05-02,110,0,41,0,14,0,55,0
2020-05-03,116,6,41,0,14,0,61,6
2020-05-04,122,6,41,0,14,0,67,6
2020-05-05,123,1,43,2,14,0,66,-1
2020-05-06,134,11,43,0,19,5,72,6
2020-05-07,135,1,48,5,19,0,68,-4
2020-05-08,150,15,48,0,19,0,83,15
2020-05-09,172,22,48,0,24,5,100,17
2020-05-10,172,0,48,0,24,0,100,0
2020-05-11,189,17,48,0,27,3,114,14
2020-05-12,191,2,53,5,27,0,111,-3
2020-05-13,193,2,53,0,27,0,113,2
2020-05-14,195,2,53,0,27,0,115,2
2020-05-15,195,0,53,0,27,0,115,0
2020-05-16,195,0,53,0,27,0,115,0
2020-05-17,211,16,58,5,29,2,124,9
2020-05-18,218,7,58,0,30,1,130,6
2020-05-19,228,10,58,0,31,1,139,9
2020-05-20,243,15,74,16,33,2,136,-3
2020-05-21,266,23,74,0,34,1,158,22
2020-05-22,278,12,102,28,35,1,141,-17
2020-05-23,287,9,102,0,35,0,150,9
2020-05-24,304,17,109,7,36,1,159,9
