date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,1,1,0,0,0,0,1,1
2020-03-23,1,0,0,0,0,0,1,0
2020-03-24,1,0,0,0,0,0,1,0
2020-03-25,1,0,0,0,0,0,1,0
2020-03-26,1,0,0,0,0,0,1,0
2020-03-27,1,0,0,0,0,0,1,0
2020-03-28,1,0,0,0,0,0,1,0
2020-03-29,1,0,0,0,0,0,1,0
2020-03-30,1,0,0,0,0,0,1,0
2020-03-31,1,0,0,0,0,0,1,0
2020-04-01,1,0,0,0,0,0,1,0
2020-04-02,1,0,0,0,0,0,1,0
2020-04-03,1,0,0,0,0,0,1,0
2020-04-04,1,0,0,0,0,0,1,0
2020-04-05,1,0,0,0,0,0,1,0
2020-04-06,1,0,0,0,0,0,1,0
2020-04-07,1,0,0,0,0,0,1,0
2020-04-08,3,2,0,0,0,0,3,2
2020-04-09,3,0,0,0,0,0,3,0
2020-04-10,3,0,0,0,0,0,3,0
2020-04-11,3,0,0,0,0,0,3,0
2020-04-12,11,8,0,0,0,0,11,8
2020-04-13,11,0,0,0,0,0,11,0
2020-04-14,11,0,0,0,0,0,11,0
2020-04-15,14,3,0,0,0,0,14,3
2020-04-16,14,0,0,0,0,0,14,0
2020-04-17,14,0,0,0,0,0,14,0
2020-04-18,17,3,5,5,0,0,12,-2
2020-04-19,17,0,5,0,0,0,12,0
2020-04-20,17,0,9,4,0,0,8,-4
2020-04-21,17,0,9,0,0,0,8,0
2020-04-22,17,0,9,0,0,0,8,0
2020-04-23,17,0,9,0,0,0,8,0
2020-04-24,17,0,10,1,0,0,7,-1
2020-04-25,20,3,10,0,0,0,10,3
2020-04-26,20,0,10,0,0,0,10,0
2020-04-27,20,0,10,0,0,0,10,0
2020-04-28,22,2,11,1,0,0,11,1
2020-04-29,23,1,11,0,0,0,12,1
2020-04-30,23,0,11,0,0,0,12,0
2020-05-01,23,0,11,0,0,0,12,0
2020-05-02,23,0,11,0,0,0,12,0
2020-05-03,23,0,11,0,0,0,12,0
2020-05-04,23,0,11,0,0,0,12,0
2020-05-05,23,0,11,0,0,0,12,0
2020-05-06,23,0,11,0,2,2,10,-2
2020-05-07,23,0,11,0,2,0,10,0
2020-05-08,32,9,11,0,2,0,19,9
2020-05-09,32,0,11,0,2,0,19,0
2020-05-10,32,0,12,1,2,0,18,-1
2020-05-11,32,0,16,4,4,2,12,-6
2020-05-12,50,18,16,0,4,0,30,18
2020-05-13,50,0,16,0,4,0,30,0
2020-05-14,62,12,16,0,4,0,42,12
2020-05-15,62,0,16,0,4,0,42,0
2020-05-16,62,0,16,0,4,0,42,0
2020-05-17,84,22,20,4,6,2,58,16
2020-05-18,107,23,20,0,6,0,81,23
2020-05-19,107,0,20,0,6,0,81,0
2020-05-20,124,17,20,0,7,1,97,16
2020-05-21,135,11,21,1,7,0,107,10
2020-05-22,157,22,21,0,7,0,129,22
2020-05-23,157,0,21,0,7,0,129,0
2020-05-24,159,2,26,5,7,0,126,-3
