provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
ACEH,2020-03-01,0,0,0,0,0,0,0,0
ACEH,2020-03-02,0,0,0,0,0,0,0,0
ACEH,2020-03-03,0,0,0,0,0,0,0,0
ACEH,2020-03-04,0,0,0,0,0,0,0,0
ACEH,2020-03-05,0,0,0,0,0,0,0,0
ACEH,2020-03-06,0,0,0,0,0,0,0,0
ACEH,2020-03-07,0,0,0,0,0,0,0,0
ACEH,2020-03-08,0,0,0,0,0,0,0,0
ACEH,2020-03-09,0,0,0,0,0,0,0,0
ACEH,2020-03-10,0,0,0,0,0,0,0,0
ACEH,2020-03-11,0,0,0,0,0,0,0,0
ACEH,2020-03-12,0,0,0,0,0,0,0,0
ACEH,2020-03-13,0,0,0,0,0,0,0,0
ACEH,2020-03-14,0,0,0,0,0,0,0,0
ACEH,2020-03-15,0,0,0,0,0,0,0,0
ACEH,2020-03-16,0,0,0,0,0,0,0,0
ACEH,2020-03-17,0,0,0,0,0,0,0,0
ACEH,2020-03-18,0,0,0,0,0,0,0,0
ACEH,2020-03-19,0,0,0,0,0,0,0,0
ACEH,2020-03-20,0,0,0,0,0,0,0,0
ACEH,2020-03-21,0,0,0,0,0,0,0,0
ACEH,2020-03-22,0,0,0,0,0,0,0,0
ACEH,2020-03-23,0,0,0,0,0,0,0,0
ACEH,2020-03-24,0,0,0,0,0,0,0,0
ACEH,2020-03-25,0,0,0,0,0,0,0,0
ACEH,2020-03-26,1,1,0,0,0,0,1,1
ACEH,2020-03-27,4,3,0,0,0,0,4,3
ACEH,2020-03-28,5,1,0,0,0,0,5,1
ACEH,2020-03-29,5,0,0,0,0,0,5,0
ACEH,2020-03-30,5,0,0,0,0,0,5,0
ACEH,2020-03-31,5,0,0,0,0,0,5,0
ACEH,2020-04-01,5,0,0,0,0,0,5,0
ACEH,2020-04-02,5,0,0,0,0,0,5,0
ACEH,2020-04-03,5,0,0,0,0,0,5,0
ACEH,2020-04-04,5,0,0,0,0,0,5,0
ACEH,2020-04-05,5,0,0,0,0,0,5,0
ACEH,2020-04-06,5,0,0,0,0,0,5,0
ACEH,2020-04-07,5,0,0,0,0,0,5,0
ACEH,2020-04-08,5,0,0,0,0,0,5,0
ACEH,2020-04-09,5,0,1,1,0,0,4,-1
ACEH,2020-04-10,5,0,1,0,0,0,4,0
ACEH,2020-04-11,5,0,1,0,0,0,4,0
ACEH,2020-04-12,5,0,1,0,0,0,4,0
ACEH,2020-04-13,5,0,3,2,0,0,2,-2
ACEH,2020-04-14,5,0,3,0,0,0,2,0
ACEH,2020-04-15,5,0,3,0,0,0,2,0
ACEH,2020-04-16,5,0,3,0,0,0,2,0
ACEH,2020-04-17,5,0,3,0,0,0,2,0
ACEH,2020-04-18,6,1,3,0,0,0,3,1
ACEH,2020-04-19,7,1,3,0,0,0,4,1
