tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,1,1,0,0,0,0,1,1
2020-04-02,1,0,0,0,0,0,1,0
2020-04-03,1,0,0,0,0,0,1,0
2020-04-04,1,0,0,0,1,1,0,-1
2020-04-05,1,0,0,0,1,0,0,0
2020-04-06,3,2,0,0,1,0,2,2
2020-04-07,6,3,0,0,2,1,4,2
2020-04-08,6,0,0,0,2,0,4,0
2020-04-09,6,0,0,0,2,0,4,0
2020-04-10,11,5,0,0,3,1,8,4
2020-04-11,11,0,1,1,3,0,7,-1
2020-04-12,15,4,1,0,3,0,11,4
2020-04-13,15,0,1,0,3,0,11,0
2020-04-14,15,0,3,2,3,0,9,-2
2020-04-15,16,1,3,0,3,0,10,1
2020-04-16,16,0,4,1,3,0,9,-1
2020-04-17,16,0,4,0,3,0,9,0
2020-04-18,18,2,4,0,3,0,11,2
2020-04-19,18,0,4,0,3,0,11,0
2020-04-20,18,0,4,0,3,0,11,0
2020-04-21,18,0,4,0,3,0,11,0
2020-04-22,18,0,4,0,3,0,11,0
2020-04-23,29,11,6,2,3,0,20,9
2020-04-24,34,5,6,0,3,0,25,5
2020-04-25,34,0,6,0,3,0,25,0
2020-04-26,38,4,12,6,3,0,23,-2
2020-04-27,38,0,12,0,3,0,23,0
2020-04-28,41,3,12,0,3,0,26,3
2020-04-29,42,1,13,1,3,0,26,0
2020-04-30,43,1,13,0,4,1,26,0
2020-05-01,43,0,13,0,4,0,26,0
2020-05-02,43,0,16,3,4,0,23,-3
2020-05-03,43,0,16,0,4,0,23,0
2020-05-04,43,0,16,0,4,0,23,0
2020-05-05,43,0,16,0,4,0,23,0
2020-05-06,43,0,16,0,4,0,23,0
2020-05-07,43,0,16,0,4,0,23,0
2020-05-08,45,2,16,0,4,0,25,2
2020-05-09,51,6,16,0,5,1,30,5
2020-05-10,69,18,16,0,6,1,47,17
2020-05-11,69,0,16,0,6,0,47,0
2020-05-12,72,3,25,9,6,0,41,-6
2020-05-13,80,8,25,0,7,1,48,7
2020-05-14,81,1,29,4,8,1,44,-4
2020-05-15,103,22,29,0,9,1,65,21
2020-05-16,112,9,30,1,9,0,73,8
2020-05-17,112,0,30,0,13,4,69,-4
2020-05-18,114,2,30,0,14,1,70,1
2020-05-19,124,10,30,0,14,0,80,10
2020-05-20,148,24,30,0,15,1,103,23
2020-05-21,178,30,30,0,19,4,129,26
