tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,3,3,0,0,0,0,3,3
2020-03-27,5,2,0,0,0,0,5,2
2020-03-28,5,0,0,0,0,0,5,0
2020-03-29,5,0,0,0,0,0,5,0
2020-03-30,8,3,0,0,0,0,8,3
2020-03-31,8,0,0,0,0,0,8,0
2020-04-01,8,0,0,0,0,0,8,0
2020-04-02,8,0,0,0,0,0,8,0
2020-04-03,8,0,0,0,0,0,8,0
2020-04-04,8,0,0,0,0,0,8,0
2020-04-05,8,0,0,0,0,0,8,0
2020-04-06,18,10,0,0,0,0,18,10
2020-04-07,18,0,0,0,0,0,18,0
2020-04-08,18,0,0,0,0,0,18,0
2020-04-09,18,0,0,0,0,0,18,0
2020-04-10,31,13,5,5,3,3,23,5
2020-04-11,31,0,5,0,3,0,23,0
2020-04-12,44,13,6,1,3,0,35,12
2020-04-13,45,1,6,0,3,0,36,1
2020-04-14,48,3,6,0,4,1,38,2
2020-04-15,55,7,7,1,4,0,44,6
2020-04-16,55,0,7,0,4,0,44,0
2020-04-17,62,7,10,3,6,2,46,2
2020-04-18,71,9,12,2,7,1,52,6
2020-04-19,72,1,12,0,7,0,53,1
2020-04-20,74,2,13,1,7,0,54,1
2020-04-21,76,2,13,0,8,1,55,1
2020-04-22,81,5,13,0,9,1,59,4
2020-04-23,86,5,16,3,9,0,61,2
2020-04-24,96,10,17,1,10,1,69,8
2020-04-25,97,1,21,4,11,1,65,-4
2020-04-26,102,5,21,0,11,0,70,5
2020-04-27,121,19,25,4,14,3,82,12
2020-04-28,144,23,25,0,14,0,105,23
2020-04-29,145,1,25,0,15,1,105,0
2020-04-30,148,3,26,1,15,0,107,2
2020-05-01,172,24,31,5,15,0,126,19
2020-05-02,182,10,31,0,16,1,135,9
2020-05-03,195,13,36,5,16,0,143,8
2020-05-04,203,8,38,2,16,0,149,6
2020-05-05,221,18,39,1,16,0,166,17
2020-05-06,238,17,39,0,17,1,182,16
2020-05-07,252,14,42,3,18,1,192,10
2020-05-08,270,18,49,7,18,0,203,11
2020-05-09,286,16,55,6,18,0,213,10
2020-05-10,299,13,57,2,18,0,224,11
2020-05-11,299,0,68,11,18,0,213,-11
2020-05-12,319,20,71,3,19,1,229,16
2020-05-13,339,20,84,13,20,1,235,6
2020-05-14,371,32,87,3,22,2,262,27
2020-05-15,393,22,90,3,22,0,281,19
2020-05-16,396,3,93,3,23,1,280,-1
2020-05-17,408,12,96,3,23,0,289,9
2020-05-18,409,1,108,12,23,0,278,-11
2020-05-19,420,11,118,10,23,0,279,1
2020-05-20,428,8,146,28,24,1,258,-21
2020-05-21,436,8,153,7,24,0,259,1
