date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-04-04,1,0,0,0,0,0,1,0
2020-04-11,2,1,1,1,0,0,1,0
2020-04-18,4,2,2,1,0,0,2,1
2020-04-25,14,10,3,1,0,0,11,9
2020-05-02,41,27,4,1,0,0,37,26
2020-05-09,54,13,9,5,0,0,45,8
2020-05-16,88,34,13,4,4,4,71,26
2020-05-23,99,11,13,0,4,0,82,11
2020-05-30,146,47,27,14,7,3,112,30
2020-06-06,185,39,33,6,17,10,135,23
2020-06-13,301,116,40,7,22,5,239,104
2020-06-20,399,98,56,16,22,0,321,82
2020-06-27,707,308,99,43,30,8,578,257
2020-07-04,948,241,123,24,31,1,794,216
2020-07-11,1152,204,131,8,33,2,988,194
2020-07-18,1285,133,175,44,38,5,1072,84
2020-07-25,1419,134,264,89,45,7,1110,38
2020-08-01,1553,134,328,64,50,5,1175,65
2020-08-08,1670,117,854,526,50,0,766,-409
2020-08-15,1739,69,1006,152,59,9,674,-92
2020-08-22,1770,31,1494,488,61,2,215,-459
2020-08-29,1840,70,1579,85,65,4,196,-19
2020-09-05,1887,47,1579,0,66,1,242,46
2020-09-08,1900,13,1579,0,68,2,253,11
