date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-27,2,2,0,0,0,0,2,2
2020-03-30,2,0,0,0,0,0,2,0
2020-04-02,2,0,0,0,0,0,2,0
2020-04-05,2,0,0,0,0,0,2,0
2020-04-08,2,0,0,0,0,0,2,0
2020-04-11,2,0,0,0,0,0,2,0
2020-04-14,2,0,0,0,0,0,2,0
2020-04-17,5,3,0,0,0,0,5,3
2020-04-20,7,2,0,0,0,0,7,2
2020-04-23,13,6,0,0,0,0,13,6
2020-04-26,16,3,0,0,0,0,16,3
2020-04-29,37,21,0,0,0,0,37,21
2020-05-02,43,6,0,0,0,0,43,6
2020-05-05,49,6,0,0,0,0,49,6
2020-05-08,53,4,0,0,0,0,53,4
2020-05-11,70,17,2,2,0,0,68,15
2020-05-14,88,18,2,0,0,0,86,18
2020-05-17,105,17,5,3,0,0,100,14
2020-05-20,106,1,6,1,0,0,100,0
2020-05-23,129,23,19,13,1,1,109,9
2020-05-26,132,3,35,16,1,0,96,-13
2020-05-29,158,26,42,7,1,0,115,19
2020-06-01,168,10,55,13,1,0,112,-3
2020-06-04,173,5,57,2,1,0,115,3
2020-06-07,179,6,74,17,1,0,104,-11
2020-06-10,191,12,84,10,1,0,106,2
2020-06-13,205,14,86,2,2,1,117,11
2020-06-16,212,7,94,8,2,0,116,-1
2020-06-19,222,10,126,32,2,0,94,-22
2020-06-22,224,2,128,2,2,0,94,0
2020-06-25,233,9,149,21,2,0,82,-12
2020-06-28,236,3,152,3,2,0,82,0
2020-07-01,242,6,165,13,3,1,74,-8
2020-07-04,253,11,171,6,3,0,79,5
2020-07-07,266,13,185,14,3,0,78,-1
2020-07-10,276,10,187,2,3,0,86,8
2020-07-13,286,10,196,9,3,0,87,1
2020-07-16,296,10,202,6,3,0,91,4
2020-07-19,341,45,209,7,4,1,128,37
2020-07-22,376,35,216,7,4,0,156,28
2020-07-25,388,12,232,16,4,0,152,-4
2020-07-28,397,9,263,31,4,0,130,-22
2020-07-31,433,36,292,29,5,1,136,6
2020-08-03,460,27,295,3,5,0,160,24
2020-08-06,492,32,344,49,5,0,143,-17
2020-08-09,552,60,362,18,5,0,185,42
2020-08-12,571,19,399,37,6,1,166,-19
2020-08-15,601,30,439,40,6,0,156,-10
2020-08-18,620,19,485,46,6,0,129,-27
2020-08-21,643,23,512,27,6,0,125,-4
2020-08-24,659,16,524,12,8,2,127,2
2020-08-27,720,61,555,31,11,3,154,27
2020-08-30,752,32,563,8,12,1,177,23
2020-09-02,836,84,598,35,14,2,224,47
2020-09-05,895,59,620,22,14,0,261,37
2020-09-06,908,13,622,2,16,2,270,9
