date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-12,1,1,0,0,0,0,1,1
2020-03-15,1,0,0,0,0,0,1,0
2020-03-18,3,2,0,0,0,0,3,2
2020-03-21,3,0,0,0,0,0,3,0
2020-03-24,3,0,0,0,0,0,3,0
2020-03-27,3,0,0,0,0,0,3,0
2020-03-30,3,0,0,0,0,0,3,0
2020-04-02,3,0,0,0,0,0,3,0
2020-04-05,5,2,1,1,0,0,4,1
2020-04-08,10,5,1,0,0,0,9,5
2020-04-11,16,6,1,0,1,1,14,5
2020-04-14,16,0,1,0,1,0,14,0
2020-04-17,27,11,4,3,1,0,22,8
2020-04-20,36,9,4,0,2,1,30,8
2020-04-23,36,0,4,0,2,0,30,0
2020-04-26,45,9,6,2,2,0,37,7
2020-04-29,53,8,6,0,2,0,45,8
2020-05-02,64,11,11,5,2,0,51,6
2020-05-05,69,5,15,4,3,1,51,0
2020-05-08,70,1,15,0,3,0,52,1
2020-05-11,76,6,16,1,3,0,57,5
2020-05-14,166,90,17,1,4,1,145,88
2020-05-17,191,25,19,2,4,0,168,23
2020-05-20,202,11,25,6,4,0,173,5
2020-05-23,215,13,51,26,4,0,160,-13
2020-05-26,215,0,100,49,4,0,111,-49
2020-05-29,241,26,112,12,4,0,125,14
2020-06-01,244,3,121,9,4,0,119,-6
2020-06-04,252,8,131,10,5,1,116,-3
2020-06-07,259,7,154,23,5,0,100,-16
2020-06-10,266,7,174,20,5,0,87,-13
2020-06-13,279,13,190,16,5,0,84,-3
2020-06-16,291,12,203,13,5,0,83,-1
2020-06-19,329,38,204,1,5,0,120,37
2020-06-22,334,5,217,13,5,0,112,-8
2020-06-25,337,3,219,2,5,0,113,1
2020-06-28,343,6,221,2,6,1,116,3
2020-07-01,405,62,235,14,6,0,164,48
2020-07-04,477,72,261,26,7,1,209,45
2020-07-07,487,10,285,24,8,1,194,-15
2020-07-10,507,20,312,27,9,1,186,-8
2020-07-13,518,11,336,24,9,0,173,-13
2020-07-16,540,22,346,10,11,2,183,10
2020-07-19,587,47,372,26,11,0,204,21
2020-07-22,685,98,385,13,11,0,289,85
2020-07-25,752,67,401,16,13,2,338,49
2020-07-28,769,17,453,52,13,0,303,-35
2020-07-31,782,13,470,17,13,0,299,-4
2020-08-03,789,7,527,57,14,1,248,-51
2020-08-06,951,162,664,137,16,2,271,23
2020-08-09,1020,69,693,29,17,1,310,39
2020-08-10,0,0,0,0,0,0,0,0
