date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,2,2,0,0,0,0,2,2
2020-03-27,3,1,0,0,0,0,3,1
2020-03-28,3,0,0,0,0,0,3,0
2020-03-29,3,0,0,0,0,0,3,0
2020-03-30,7,4,0,0,1,1,6,3
2020-03-31,7,0,0,0,2,1,5,-1
2020-04-01,7,0,0,0,2,0,5,0
2020-04-02,7,0,0,0,2,0,5,0
2020-04-03,10,3,0,0,3,1,7,2
2020-04-04,10,0,0,0,3,0,7,0
2020-04-05,10,0,0,0,3,0,7,0
2020-04-06,11,1,0,0,3,0,8,1
2020-04-07,11,0,0,0,3,0,8,0
2020-04-08,14,3,0,0,5,2,9,1
2020-04-09,14,0,2,2,5,0,7,-2
2020-04-10,19,5,2,0,5,0,12,5
2020-04-11,19,0,4,2,5,0,10,-2
2020-04-12,19,0,4,0,5,0,10,0
2020-04-13,20,1,4,0,5,0,11,1
2020-04-14,20,0,4,0,5,0,11,0
2020-04-15,20,0,4,0,5,0,11,0
2020-04-16,25,5,4,0,5,0,16,5
2020-04-17,25,0,4,0,5,0,16,0
2020-04-18,25,0,4,0,5,0,16,0
2020-04-19,25,0,4,0,5,0,16,0
2020-04-20,25,0,4,0,5,0,16,0
2020-04-21,26,1,5,1,5,0,16,0
2020-04-22,26,0,6,1,5,0,15,-1
2020-04-23,37,11,6,0,5,0,26,11
2020-04-24,37,0,6,0,5,0,26,0
2020-04-25,37,0,7,1,5,0,25,-1
2020-04-26,41,4,7,0,5,0,29,4
2020-04-27,41,0,8,1,5,0,28,-1
2020-04-28,43,2,10,2,5,0,28,0
2020-04-29,45,2,13,3,5,0,27,-1
2020-04-30,45,0,13,0,5,0,27,0
2020-05-01,49,4,13,0,5,0,31,4
2020-05-02,49,0,13,0,5,0,31,0
2020-05-03,49,0,13,0,5,0,31,0
2020-05-04,53,4,13,0,5,0,35,4
2020-05-05,54,1,14,1,5,0,35,0
2020-05-06,62,8,19,5,5,0,38,3
2020-05-07,62,0,19,0,5,0,38,0
2020-05-08,65,3,19,0,5,0,41,3
2020-05-09,65,0,19,0,5,0,41,0
2020-05-10,65,0,19,0,6,1,40,-1
2020-05-11,65,0,19,0,7,1,39,-1
2020-05-12,65,0,19,0,7,0,39,0
2020-05-13,65,0,19,0,7,0,39,0
2020-05-14,65,0,19,0,7,0,39,0
2020-05-15,65,0,21,2,8,1,36,-3
2020-05-16,65,0,23,2,8,0,34,-2
2020-05-17,66,1,23,0,8,0,35,1
2020-05-18,82,16,25,2,8,0,49,14
2020-05-19,83,1,29,4,8,0,46,-3
2020-05-20,85,2,29,0,8,0,48,2
2020-05-21,101,16,31,2,8,0,62,14
2020-05-22,105,4,36,5,8,0,61,-1
2020-05-23,105,0,40,4,8,0,57,-4
2020-05-24,109,4,45,5,10,2,54,-3
