date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-24,1,1,0,0,0,0,1,1
2020-03-26,1,0,0,0,0,0,1,0
2020-03-28,1,0,0,0,0,0,1,0
2020-03-30,1,0,0,0,0,0,1,0
2020-04-01,1,0,0,0,0,0,1,0
2020-04-03,1,0,0,0,0,0,1,0
2020-04-05,1,0,0,0,0,0,1,0
2020-04-07,1,0,0,0,0,0,1,0
2020-04-09,2,1,1,1,0,0,1,0
2020-04-11,2,0,1,0,0,0,1,0
2020-04-13,2,0,1,0,0,0,1,0
2020-04-15,4,2,2,1,0,0,2,1
2020-04-17,4,0,2,0,0,0,2,0
2020-04-19,4,0,2,0,0,0,2,0
2020-04-21,4,0,2,0,0,0,2,0
2020-04-23,14,10,2,0,0,0,12,10
2020-04-25,14,0,3,1,0,0,11,-1
2020-04-27,26,12,3,0,0,0,23,12
2020-04-29,26,0,4,1,0,0,22,-1
2020-05-01,41,15,4,0,0,0,37,15
2020-05-03,50,9,6,2,0,0,44,7
2020-05-05,50,0,6,0,0,0,44,0
2020-05-07,50,0,6,0,0,0,44,0
2020-05-09,54,4,9,3,0,0,45,1
2020-05-11,54,0,9,0,0,0,45,0
2020-05-13,77,23,9,0,3,3,65,20
2020-05-15,85,8,13,4,4,1,68,3
2020-05-17,92,7,13,0,4,0,75,7
2020-05-19,95,3,13,0,4,0,78,3
2020-05-21,97,2,13,0,4,0,80,2
2020-05-23,99,2,13,0,4,0,82,2
2020-05-25,107,8,13,0,5,1,89,7
2020-05-27,119,12,21,8,6,1,92,3
2020-05-29,139,20,21,0,7,1,111,19
2020-05-31,153,14,27,6,11,4,115,4
2020-06-02,174,21,29,2,15,4,130,15
2020-06-04,177,3,30,1,18,3,129,-1
2020-06-06,185,8,33,3,18,0,134,5
2020-06-08,186,1,33,0,18,0,135,1
2020-06-10,227,41,37,4,18,0,172,37
2020-06-12,284,57,40,3,22,4,222,50
2020-06-14,309,25,48,8,22,0,239,17
2020-06-16,314,5,48,0,22,0,244,5
2020-06-18,342,28,49,1,22,0,271,27
2020-06-20,399,57,56,7,23,1,320,49
2020-06-22,430,31,70,14,25,2,335,15
2020-06-24,559,129,88,18,26,1,445,110
2020-06-26,670,111,97,9,31,5,542,97
2020-06-28,718,48,103,6,31,0,584,42
2020-06-30,727,9,105,2,31,0,591,7
2020-07-02,937,210,117,12,31,0,789,198
2020-07-04,950,13,123,6,32,1,795,6
2020-07-06,950,0,123,0,32,0,795,0
2020-07-08,1034,84,128,5,32,0,874,79
2020-07-10,1099,65,132,4,34,2,933,59
2020-07-12,1130,31,133,1,38,4,959,26
2020-07-13,1143,13,137,4,39,1,967,8
