date,total_confirmed,confirmed,total_recover,recover,total_death,death,total_active,active
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0,1,1
2020-03-29,1,0,0,0,0,0,1,0
2020-03-30,1,0,0,0,0,0,1,0
2020-03-31,1,0,0,0,0,0,1,0
2020-04-01,1,0,0,0,0,0,1,0
2020-04-02,1,0,0,0,0,0,1,0
2020-04-03,2,1,0,0,0,0,2,1
2020-04-04,2,0,0,0,0,0,2,0
2020-04-05,2,0,0,0,0,0,2,0
2020-04-06,2,0,0,0,0,0,2,0
2020-04-07,2,0,0,0,0,0,2,0
2020-04-08,2,0,0,0,0,0,2,0
2020-04-09,2,0,0,0,0,0,2,0
2020-04-10,3,1,0,0,0,0,3,1
2020-04-11,5,2,1,1,1,1,3,0
2020-04-12,5,0,1,0,1,0,3,0
2020-04-13,5,0,1,0,1,0,3,0
2020-04-14,5,0,1,0,1,0,3,0
2020-04-15,7,2,1,0,1,0,5,2
2020-04-16,7,0,1,0,1,0,5,0
2020-04-17,7,0,1,0,1,0,5,0
2020-04-18,7,0,1,0,1,0,5,0
2020-04-19,7,0,1,0,1,0,5,0
2020-04-20,7,0,1,0,1,0,5,0
2020-04-21,7,0,1,0,1,0,5,0
2020-04-22,8,1,1,0,1,0,6,1
2020-04-23,8,0,1,0,1,0,6,0
2020-04-24,33,25,1,0,1,0,31,25
2020-04-25,35,2,1,0,1,0,33,2
2020-04-26,35,0,1,0,1,0,33,0
2020-04-27,35,0,1,0,1,0,33,0
2020-04-28,37,2,3,2,1,0,33,0
2020-04-29,38,1,4,1,1,0,33,0
2020-04-30,42,4,4,0,1,0,37,4
2020-05-01,43,1,5,1,1,0,37,0
2020-05-02,44,1,5,0,1,0,38,1
2020-05-03,44,0,5,0,1,0,38,0
2020-05-04,44,0,5,0,1,0,38,0
2020-05-05,58,14,5,0,2,1,51,13
2020-05-06,58,0,5,0,2,0,51,0
2020-05-07,58,0,5,0,2,0,51,0
2020-05-08,60,2,5,0,2,0,53,2
2020-05-09,62,2,5,0,2,0,55,2
2020-05-10,62,0,5,0,2,0,55,0
2020-05-11,62,0,5,0,2,0,55,0
2020-05-12,67,5,7,2,2,0,58,3
2020-05-13,73,6,7,0,2,0,64,6
2020-05-14,74,1,20,13,2,0,52,-12
2020-05-15,74,0,22,2,2,0,50,-2
2020-05-16,75,1,23,1,2,0,50,0
2020-05-17,75,0,23,0,2,0,50,0
2020-05-18,75,0,23,0,2,0,50,0
2020-05-19,77,2,25,2,2,0,50,0
2020-05-20,78,1,25,0,2,0,51,1
2020-05-21,86,8,25,0,2,0,59,8
2020-05-22,86,0,26,1,2,0,58,-1
2020-05-23,86,0,27,1,2,0,57,-1
2020-05-24,86,0,27,0,2,0,57,0
